,sim,szn,terr,data_avail,rank,rank_stat
217,era5,JAN,12,61.0,3.0,13.5
218,era5,JAN,13,122.0,4.0,4.04
219,era5,JAN,14,155.0,1.0,5.53
220,era5,JAN,16,31.0,1.0,0.312
221,era5,JUL,1,1312.0,3.0,5.29
222,era5,JUL,2,290.0,2.0,4.82
223,era5,JUL,3,186.0,4.0,3.19
224,era5,JUL,4,0.0,,
225,era5,JUL,5,49.0,2.0,0.402
226,era5,JUL,6,0.0,,
227,era5,JUL,7,93.0,3.0,6.71
228,era5,JUL,10,124.0,4.0,1.7
229,era5,JUL,11,62.0,4.0,4.09
230,era5,JUL,12,62.0,3.0,6.45
231,era5,JUL,13,124.0,4.0,1.94
232,era5,JUL,14,183.0,3.0,0.916
233,era5,JUL,16,42.0,2.0,1.42
234,era5,JUN,1,1200.0,2.0,3.24
235,era5,JUN,2,270.0,2.0,2.15
236,era5,JUN,3,180.0,4.0,3.11
237,era5,JUN,4,0.0,,
238,era5,JUN,5,30.0,1.0,0.0849
239,era5,JUN,6,0.0,,
240,era5,JUN,7,90.0,3.0,2.56
241,era5,JUN,10,120.0,1.0,0.446
242,era5,JUN,11,60.0,4.0,1.17
243,era5,JUN,12,60.0,4.0,4.53
244,era5,JUN,13,120.0,4.0,1.43
245,era5,JUN,14,150.0,4.0,1.5
246,era5,JUN,16,30.0,4.0,1.72
247,era5,MAR,1,1267.0,3.0,3.0
248,era5,MAR,2,310.0,4.0,4.98
249,era5,MAR,3,186.0,3.0,2.28
250,era5,MAR,4,30.0,3.0,8.48
251,era5,MAR,5,31.0,1.0,2.72
252,era5,MAR,6,0.0,,
253,era5,MAR,7,93.0,3.0,2.02
254,era5,MAR,10,124.0,4.0,1.81
255,era5,MAR,11,62.0,4.0,6.0
256,era5,MAR,12,62.0,3.0,13.2
257,era5,MAR,13,124.0,4.0,4.04
258,era5,MAR,14,155.0,1.0,2.27
259,era5,MAR,16,31.0,3.0,3.08
260,era5,MAY,1,1240.0,4.0,3.61
261,era5,MAY,2,306.0,4.0,2.89
262,era5,MAY,3,186.0,4.0,5.24
263,era5,MAY,4,15.0,,
264,era5,MAY,5,31.0,1.0,1.13
265,era5,MAY,6,0.0,,
266,era5,MAY,7,93.0,4.0,2.02
267,era5,MAY,10,124.0,3.0,0.705
