time,sitename,obs,terr
2015-08-28,ROCKT1,12.7368555,3
2015-08-28,ROCKT2,13.741871,3
2015-08-28,ROCKT3,11.484267,3
2015-08-29,ROCKT1,10.953805,3
2015-08-29,ROCKT2,12.74719,3
2015-08-29,ROCKT3,9.208531,3
2015-08-30,ROCKT1,11.805965,3
2015-08-30,ROCKT2,13.902811,3
2015-08-30,ROCKT3,9.778337,3
2015-08-31,ROCKT1,12.115303,3
2015-08-31,ROCKT2,12.772082,3
2015-08-31,ROCKT3,11.344198,3
2015-09-01,ROCKT1,11.88473,3
2015-09-01,ROCKT2,12.258242,3
2015-09-01,ROCKT3,11.446869,3
2015-09-02,ROCKT1,10.945553,3
2015-09-02,ROCKT2,11.428153,3
2015-09-02,ROCKT3,10.771991,3
2015-09-03,ROCKT1,9.339461,3
2015-09-03,ROCKT2,10.628067,3
2015-09-03,ROCKT3,8.370441,3
2015-09-04,ROCKT1,7.8907485,3
2015-09-04,ROCKT2,10.097927,3
2015-09-04,ROCKT3,6.604236,3
2015-09-05,ROCKT1,7.7981353,3
2015-09-05,ROCKT2,9.282471,3
2015-09-05,ROCKT3,6.9937744,3
2015-09-06,ROCKT1,8.8590765,3
2015-09-06,ROCKT2,10.688967,3
2015-09-06,ROCKT3,6.9741364,3
2015-09-07,ROCKT1,9.305837,3
2015-09-07,ROCKT2,10.675706,3
2015-09-07,ROCKT3,8.239296,3
2015-09-08,ROCKT1,7.706565,3
2015-09-08,ROCKT2,10.111189,3
2015-09-08,ROCKT3,5.8207173,3
2015-09-09,ROCKT1,9.052032,3
2015-09-09,ROCKT2,11.40146,3
2015-09-09,ROCKT3,6.8510337,3
2015-09-10,ROCKT1,9.489798,3
2015-09-10,ROCKT2,11.643764,3
2015-09-10,ROCKT3,7.823745,3
2015-09-11,ROCKT1,9.160945,3
2015-09-11,ROCKT2,10.6033,3
2015-09-11,ROCKT3,8.661426,3
2015-09-12,ROCKT1,8.201609,3
2015-09-12,ROCKT2,9.395908,3
2015-09-12,ROCKT3,7.5934916,3
2015-09-13,ROCKT1,3.3839312,3
2015-09-13,ROCKT2,5.3844247,3
2015-09-13,ROCKT3,2.7686944,3
2015-09-14,ROCKT1,2.204532,3
2015-09-14,ROCKT2,3.8044055,3
2015-09-14,ROCKT3,1.5403725,3
2015-09-15,ROCKT1,2.6896005,3
2015-09-15,ROCKT2,4.5227823,3
2015-09-15,ROCKT3,1.7313703,3
2015-09-16,ROCKT1,6.2598205,3
2015-09-16,ROCKT2,8.044041,3
2015-09-16,ROCKT3,4.823324,3
2015-09-17,ROCKT1,6.591919,3
2015-09-17,ROCKT2,8.228886,3
2015-09-17,ROCKT3,5.693849,3
2015-09-18,ROCKT1,6.250725,3
2015-09-18,ROCKT2,8.249157,3
2015-09-18,ROCKT3,4.8331513,3
2015-09-19,ROCKT1,5.6007175,3
2015-09-19,ROCKT2,6.749584,3
2015-09-19,ROCKT3,4.576113,3
2015-09-20,ROCKT1,4.0195856,3
2015-09-20,ROCKT2,4.6412706,3
2015-09-20,ROCKT3,3.6243453,3
2015-09-21,ROCKT1,2.1227734,3
2015-09-21,ROCKT2,3.3499954,3
2015-09-21,ROCKT3,1.505829,3
2015-09-22,ROCKT1,1.4612694,3
2015-09-22,ROCKT2,2.5114033,3
2015-09-22,ROCKT3,0.99754786,3
2015-09-23,ROCKT1,2.3311741,3
2015-09-23,ROCKT2,2.9423323,3
2015-09-23,ROCKT3,1.8263743,3
2015-09-24,ROCKT1,2.2948558,3
2015-09-24,ROCKT2,2.5888786,3
2015-09-24,ROCKT3,2.2942264,3
2015-09-25,ROCKT1,3.764191,3
2015-09-25,ROCKT2,4.060184,3
2015-09-25,ROCKT3,3.5409098,3
2015-09-26,ROCKT1,2.3592074,3
2015-09-26,ROCKT2,2.672316,3
2015-09-26,ROCKT3,2.1501653,3
2015-09-27,ROCKT1,0.4375113,3
2015-09-27,ROCKT2,0.9849056,3
2015-09-27,ROCKT3,0.19159627,3
2015-09-28,ROCKT1,-1.5710323,3
2015-09-28,ROCKT2,-0.43005303,3
2015-09-28,ROCKT3,-2.1864352,3
2015-09-29,ROCKT1,-1.9950199,3
2015-09-29,ROCKT2,-1.2070372,3
2015-09-29,ROCKT3,-2.6218097,3
2015-09-30,ROCKT1,2.1362336,3
2015-09-30,ROCKT2,3.318016,3
2015-09-30,ROCKT3,1.1203654,3
2015-10-01,ROCKT1,3.9095254,3
2015-10-01,ROCKT2,5.8791604,3
2015-10-01,ROCKT3,3.1805167,3
2015-10-02,ROCKT1,1.5738547,3
2015-10-02,ROCKT2,3.1896887,3
2015-10-02,ROCKT3,0.9346068,3
2015-10-03,ROCKT1,0.6026627,3
2015-10-03,ROCKT2,1.9679035,3
2015-10-03,ROCKT3,0.043886025,3
2015-10-04,ROCKT1,0.5799185,3
2015-10-04,ROCKT2,1.3546335,3
2015-10-04,ROCKT3,0.31862453,3
2015-10-05,ROCKT1,0.5237435,3
2015-10-05,ROCKT2,1.5606884,3
2015-10-05,ROCKT3,0.34181994,3
2015-10-06,ROCKT1,0.32366857,3
2015-10-06,ROCKT2,1.2708534,3
2015-10-06,ROCKT3,0.1808839,3
2015-10-07,ROCKT1,-0.5295774,3
2015-10-07,ROCKT2,-1.3926473,3
2015-10-07,ROCKT3,-1.1168885,3
2015-10-08,ROCKT1,-4.065228,3
2015-10-08,ROCKT2,-2.8134,3
2015-10-08,ROCKT3,-4.0193653,3
2015-10-09,ROCKT1,-5.3381195,3
2015-10-09,ROCKT2,-3.7524967,3
2015-10-09,ROCKT3,-5.260024,3
2015-10-10,ROCKT1,-3.9139898,3
2015-10-10,ROCKT2,-3.1194654,3
2015-10-10,ROCKT3,-3.9251778,3
2015-10-11,ROCKT1,-3.9951859,3
2015-10-11,ROCKT2,-2.6742194,3
2015-10-11,ROCKT3,-4.129457,3
2015-10-12,ROCKT1,-5.5902233,3
2015-10-12,ROCKT2,-3.8156219,3
2015-10-12,ROCKT3,-5.861497,3
2015-10-13,ROCKT1,-6.0746765,3
2015-10-13,ROCKT2,-5.9397717,3
2015-10-13,ROCKT3,-5.3665147,3
2015-10-14,ROCKT1,-7.582327,3
2015-10-14,ROCKT2,-7.0735607,3
2015-10-14,ROCKT3,-5.385703,3
2015-10-15,ROCKT1,-6.618413,3
2015-10-15,ROCKT2,-5.7804656,3
2015-10-15,ROCKT3,-5.738488,3
2015-10-16,ROCKT1,-4.0608387,3
2015-10-16,ROCKT2,-3.2504745,3
2015-10-16,ROCKT3,-3.916127,3
2015-10-17,ROCKT1,-3.206097,3
2015-10-17,ROCKT2,-2.5953603,3
2015-10-17,ROCKT3,-2.8272488,3
2015-10-18,ROCKT1,-3.5603232,3
2015-10-18,ROCKT2,-3.5842032,3
2015-10-18,ROCKT3,-3.024868,3
2015-10-19,ROCKT1,-6.202986,3
2015-10-19,ROCKT2,-7.3754478,3
2015-10-19,ROCKT3,-5.339217,3
2015-10-20,ROCKT1,-6.2965956,3
2015-10-20,ROCKT2,-7.5634036,3
2015-10-20,ROCKT3,-5.8776994,3
2015-10-21,ROCKT1,-4.8563743,3
2015-10-21,ROCKT2,-5.254077,3
2015-10-21,ROCKT3,-4.564254,3
2015-10-22,ROCKT1,-5.199971,3
2015-10-22,ROCKT2,-6.1063786,3
2015-10-22,ROCKT3,-4.628448,3
2015-10-23,ROCKT1,-5.167283,3
2015-10-23,ROCKT2,-5.7363167,3
2015-10-23,ROCKT3,-4.5912623,3
2015-10-24,ROCKT1,-9.651642,3
2015-10-24,ROCKT2,-11.770433,3
2015-10-24,ROCKT3,-7.614233,3
2015-10-25,ROCKT1,-11.871924,3
2015-10-25,ROCKT2,-13.2110615,3
2015-10-25,ROCKT3,-9.651959,3
2015-10-26,ROCKT1,-9.350965,3
2015-10-26,ROCKT2,-9.411272,3
2015-10-26,ROCKT3,-8.366616,3
2015-10-27,ROCKT1,-7.723563,3
2015-10-27,ROCKT2,-7.861967,3
2015-10-27,ROCKT3,-6.528355,3
2015-10-28,ROCKT1,-7.8694487,3
2015-10-28,ROCKT2,-8.3835535,3
2015-10-28,ROCKT3,-6.4466486,3
2015-10-29,ROCKT1,-8.497795,3
2015-10-29,ROCKT2,-9.6306925,3
2015-10-29,ROCKT3,-6.7552195,3
2015-10-30,ROCKT1,-9.924401,3
2015-10-30,ROCKT2,-10.924971,3
2015-10-30,ROCKT3,-6.828329,3
2015-10-31,ROCKT1,-9.263457,3
2015-10-31,ROCKT2,-10.522017,3
2015-10-31,ROCKT3,-6.842655,3
2015-11-01,ROCKT1,-8.258074,3
2015-11-01,ROCKT2,-8.714582,3
2015-11-01,ROCKT3,-6.696736,3
2015-11-02,ROCKT1,-8.734784,3
2015-11-02,ROCKT2,-9.10325,3
2015-11-02,ROCKT3,-7.235285,3
2015-11-03,ROCKT1,-8.35655,3
2015-11-03,ROCKT2,-9.065989,3
2015-11-03,ROCKT3,-6.732752,3
2015-11-04,ROCKT1,-7.2399583,3
2015-11-04,ROCKT2,-7.5418563,3
2015-11-04,ROCKT3,-5.9193177,3
2015-11-05,ROCKT1,-7.109758,3
2015-11-05,ROCKT2,-7.010203,3
2015-11-05,ROCKT3,-5.5346932,3
2015-11-06,ROCKT1,-8.118914,3
2015-11-06,ROCKT2,-7.3728323,3
2015-11-06,ROCKT3,-5.9141974,3
2015-11-07,ROCKT1,-7.7536063,3
2015-11-07,ROCKT2,-6.9288297,3
2015-11-07,ROCKT3,-5.5486646,3
2015-11-08,ROCKT1,-11.172263,3
2015-11-08,ROCKT2,-9.443333,3
2015-11-08,ROCKT3,-6.4153295,3
2015-11-09,ROCKT1,-13.88463,3
2015-11-09,ROCKT2,-11.624129,3
2015-11-09,ROCKT3,-8.901967,3
2015-11-10,ROCKT1,-9.22543,3
2015-11-10,ROCKT2,-7.932413,3
2015-11-10,ROCKT3,-7.96998,3
