,site,sim,szn,terr,data_avail,RMSE,MAE,R2,NSE,BIAS
0,KDI-R2,era5,ALL,Rock,100.0,5.205935478210449,4.158961296081543,0.883344971682069,0.8833449706435204,-3.651132106781006
1,KDI-R2,era5,DJF,Rock,100.0,6.565544128417969,5.508569240570068,-0.4898457168823591,-0.489845871925354,-5.168475151062012
2,KDI-R2,era5,MAM,Rock,100.0,3.9833109378814697,3.0796873569488525,0.7754192499859492,0.7754192352294922,-2.1424317359924316
3,KDI-R2,era5,JJA,Rock,100.0,5.877420425415039,5.040292263031006,-0.31718166751595644,-0.3171815872192383,-4.816662788391113
4,KDI-R2,era5,SON,Rock,100.0,3.793246030807495,2.9406938552856445,0.8270930986503505,0.827093094587326,-2.387566089630127
5,KDI-R2,jra5,ALL,Rock,100.0,6.214916706085205,4.927896499633789,0.833744300745395,0.8337443023920059,-4.258364200592041
6,KDI-R2,jra5,DJF,Rock,100.0,9.31468677520752,8.449024200439453,-1.998723517969113,-1.9987235069274902,-8.405828475952148
7,KDI-R2,jra5,MAM,Rock,100.0,3.583092212677002,2.828608751296997,0.8182810964788516,0.8182810842990875,-0.8981874585151672
8,KDI-R2,jra5,JJA,Rock,100.0,4.926375389099121,4.156696796417236,0.07460496572271413,0.07460498809814453,-3.711548089981079
9,KDI-R2,jra5,SON,Rock,100.0,5.724422454833984,4.407736778259277,0.6062200169449303,0.606220006942749,-4.144571304321289
10,KDI-R2,merr,ALL,Rock,100.0,6.803506374359131,5.251827239990234,0.8007623067579591,0.8007623106241226,-3.301844835281372
11,KDI-R2,merr,DJF,Rock,100.0,4.710416316986084,3.779446601867676,0.23313584993305048,0.23313581943511963,-0.21231256425380707
12,KDI-R2,merr,MAM,Rock,100.0,3.7650294303894043,2.963172674179077,0.7993584439855915,0.7993584275245667,-0.7174286246299744
13,KDI-R2,merr,JJA,Rock,100.0,10.970130920410156,10.114373207092285,-3.588764613027867,-3.5887646675109863,-10.098407745361328
14,KDI-R2,merr,SON,Rock,100.0,4.590220928192139,3.6690633296966553,0.7468036653791199,0.7468036413192749,-1.4913041591644287
15,KDI-E-Ttop,era5,ALL,NoSnow,100.0,9.737980842590332,7.055113792419434,-0.24979414338487005,-0.2497941255569458,-5.278989791870117
16,KDI-E-Ttop,era5,DJF,NoSnow,100.0,16.397705078125,15.601133346557617,-16.997340170744074,-16.99734115600586,-15.601142883300781
17,KDI-E-Ttop,era5,MAM,NoSnow,100.0,6.032957077026367,4.398837089538574,-0.5570035086333853,-0.557003378868103,-2.974569797515869
18,KDI-E-Ttop,era5,JJA,NoSnow,100.0,3.243112802505493,2.6196563243865967,0.014784400796786556,0.014784276485443115,2.4607367515563965
19,KDI-E-Ttop,era5,SON,NoSnow,100.0,8.678634643554688,6.212233543395996,-4.1950386669381645,-4.195038318634033,-6.004419803619385
20,KDI-E-Ttop,jra5,ALL,NoSnow,100.0,11.655403137207031,8.678014755249023,-0.7904215824543761,-0.7904214859008789,-5.896843910217285
21,KDI-E-Ttop,jra5,DJF,NoSnow,100.0,19.471355438232422,18.83217430114746,-24.37666582563618,-24.376667022705078,-18.832172393798828
22,KDI-E-Ttop,jra5,MAM,NoSnow,100.0,6.207664966583252,4.8867340087890625,-0.6484879161611159,-0.6484878063201904,-1.7466723918914795
