,sim,szn,terr,data_avail,rank,rank_stat
125,ens,NOV,11,30.0,3.0,0.23
126,ens,NOV,12,30.0,3.0,2.76
127,ens,NOV,13,60.0,2.0,1.43
128,ens,NOV,14,150.0,1.0,0.335
129,ens,NOV,16,30.0,2.0,0.316
130,ens,OCT,1,806.0,3.0,0.555
131,ens,OCT,2,155.0,3.0,0.416
132,ens,OCT,3,93.0,1.0,0.407
133,ens,OCT,4,0.0,,
134,ens,OCT,5,31.0,1.0,0.0173
135,ens,OCT,6,0.0,,
136,ens,OCT,7,31.0,1.0,1.03
137,ens,OCT,10,62.0,2.0,0.418
138,ens,OCT,11,31.0,2.0,0.112
139,ens,OCT,12,31.0,1.0,0.23
140,ens,OCT,13,62.0,1.0,0.852
141,ens,OCT,14,155.0,1.0,0.154
142,ens,OCT,16,31.0,3.0,0.556
143,ens,SEP,1,957.0,3.0,2.2
144,ens,SEP,2,205.0,3.0,2.09
145,ens,SEP,3,124.0,1.0,1.04
146,ens,SEP,4,0.0,,
147,ens,SEP,5,40.0,1.0,0.388
148,ens,SEP,6,0.0,,
149,ens,SEP,7,50.0,1.0,0.491
150,ens,SEP,10,80.0,2.0,1.04
151,ens,SEP,11,41.0,2.0,1.15
152,ens,SEP,12,42.0,2.0,2.07
153,ens,SEP,13,83.0,2.0,1.05
154,ens,SEP,14,160.0,1.0,0.543
155,ens,SEP,16,41.0,3.0,2.0
156,era5,APR,1,1200.0,3.0,2.46
157,era5,APR,2,300.0,4.0,3.1
158,era5,APR,3,180.0,3.0,1.43
159,era5,APR,4,30.0,4.0,6.36
160,era5,APR,5,30.0,1.0,2.44
161,era5,APR,6,0.0,,
162,era5,APR,7,90.0,3.0,1.59
163,era5,APR,10,120.0,4.0,1.55
164,era5,APR,11,60.0,4.0,4.36
165,era5,APR,12,60.0,3.0,10.7
166,era5,APR,13,120.0,3.0,2.62
167,era5,APR,14,150.0,1.0,1.69
168,era5,APR,16,30.0,3.0,2.45
169,era5,AUG,1,1335.0,3.0,4.37
170,era5,AUG,2,310.0,2.0,4.05
171,era5,AUG,3,186.0,1.0,2.3
172,era5,AUG,4,0.0,,
173,era5,AUG,5,62.0,3.0,1.6
174,era5,AUG,6,0.0,,
175,era5,AUG,7,93.0,3.0,4.8
176,era5,AUG,10,124.0,1.0,0.594
177,era5,AUG,11,62.0,4.0,2.95
178,era5,AUG,12,62.0,3.0,5.49
179,era5,AUG,13,124.0,4.0,1.87
180,era5,AUG,14,187.0,3.0,2.13
181,era5,AUG,16,62.0,1.0,0.704
182,era5,DEC,1,806.0,4.0,3.91
183,era5,DEC,2,155.0,4.0,4.47
184,era5,DEC,3,93.0,4.0,2.26
185,era5,DEC,4,0.0,,
186,era5,DEC,5,31.0,1.0,0.0741
187,era5,DEC,6,0.0,,
188,era5,DEC,7,31.0,4.0,3.17
189,era5,DEC,10,62.0,3.0,0.46
190,era5,DEC,11,31.0,4.0,2.46
191,era5,DEC,12,31.0,2.0,8.02
192,era5,DEC,13,62.0,3.0,1.86
193,era5,DEC,14,155.0,3.0,3.6
194,era5,DEC,16,31.0,1.0,0.367
195,era5,FEB,1,1165.0,4.0,3.85
196,era5,FEB,2,285.0,4.0,8.09
197,era5,FEB,3,171.0,4.0,3.25
198,era5,FEB,4,29.0,,
199,era5,FEB,5,28.0,,
200,era5,FEB,6,0.0,,
201,era5,FEB,7,86.0,3.0,1.76
202,era5,FEB,10,114.0,4.0,1.63
203,era5,FEB,11,57.0,4.0,7.9
204,era5,FEB,12,57.0,3.0,14.1
205,era5,FEB,13,114.0,4.0,4.11
206,era5,FEB,14,141.0,1.0,2.39
207,era5,FEB,16,28.0,,
208,era5,JAN,1,1256.0,4.0,4.44
209,era5,JAN,2,305.0,4.0,7.7
210,era5,JAN,3,183.0,4.0,5.5
211,era5,JAN,4,30.0,3.0,9.35
212,era5,JAN,5,31.0,3.0,0.751
213,era5,JAN,6,0.0,,
214,era5,JAN,7,91.0,2.0,1.13
215,era5,JAN,10,122.0,4.0,1.52
216,era5,JAN,11,61.0,4.0,7.59
217,era5,JAN,12,61.0,3.0,13.4
218,era5,JAN,13,122.0,4.0,3.96
219,era5,JAN,14,155.0,1.0,5.5
220,era5,JAN,16,31.0,2.0,0.457
221,era5,JUL,1,1312.0,3.0,5.16
222,era5,JUL,2,290.0,2.0,4.53
223,era5,JUL,3,186.0,3.0,3.04
224,era5,JUL,4,0.0,,
225,era5,JUL,5,49.0,2.0,0.466
226,era5,JUL,6,0.0,,
227,era5,JUL,7,93.0,4.0,7.17
228,era5,JUL,10,124.0,3.0,1.67
229,era5,JUL,11,62.0,4.0,3.82
230,era5,JUL,12,62.0,4.0,6.51
231,era5,JUL,13,124.0,4.0,2.14
232,era5,JUL,14,183.0,3.0,0.93
233,era5,JUL,16,42.0,2.0,1.31
234,era5,JUN,1,1200.0,3.0,3.34
235,era5,JUN,2,270.0,3.0,2.4
236,era5,JUN,3,180.0,4.0,2.57
237,era5,JUN,4,0.0,,
238,era5,JUN,5,30.0,1.0,0.13
239,era5,JUN,6,0.0,,
240,era5,JUN,7,90.0,4.0,3.87
241,era5,JUN,10,120.0,2.0,0.701
242,era5,JUN,11,60.0,4.0,1.16
243,era5,JUN,12,60.0,4.0,4.8
244,era5,JUN,13,120.0,4.0,1.68
245,era5,JUN,14,150.0,4.0,1.11
246,era5,JUN,16,30.0,4.0,1.74
247,era5,MAR,1,1267.0,3.0,3.01
248,era5,MAR,2,310.0,4.0,5.08
249,era5,MAR,3,186.0,3.0,2.2
250,era5,MAR,4,30.0,3.0,8.41
