,sim,szn,terr,data_avail,rank,rank_stat
121,ens,MAR,10,124.0,2.0,0.495
122,ens,MAR,11,217.0,1.0,0.496
123,ens,MAR,12,124.0,4.0,0.5
124,ens,MAR,13,124.0,4.0,0.501
125,ens,MAR,14,155.0,3.0,0.5
126,ens,MAR,15,279.0,2.0,0.487
127,ens,MAR,16,31.0,2.0,0.488
128,ens,MAY,1,651.0,2.0,0.501
129,ens,MAY,2,403.0,2.0,0.507
130,ens,MAY,3,248.0,2.0,0.46
131,ens,MAY,4,155.0,3.0,0.502
132,ens,MAY,5,186.0,2.0,0.44
133,ens,MAY,6,186.0,2.0,0.512
134,ens,MAY,7,186.0,2.0,0.478
135,ens,MAY,8,310.0,4.0,0.513
136,ens,MAY,9,186.0,2.0,0.495
137,ens,MAY,10,124.0,3.0,0.492
138,ens,MAY,11,217.0,3.0,0.507
139,ens,MAY,12,107.0,2.0,0.501
140,ens,MAY,13,124.0,3.0,0.503
141,ens,MAY,14,155.0,1.0,0.334
142,ens,MAY,15,279.0,1.0,0.457
143,ens,MAY,16,31.0,3.0,0.5
144,ens,NOV,1,330.0,2.0,0.494
145,ens,NOV,2,270.0,3.0,0.504
146,ens,NOV,3,150.0,1.0,0.48
147,ens,NOV,4,90.0,4.0,0.5
148,ens,NOV,5,180.0,2.0,0.471
149,ens,NOV,6,90.0,2.0,0.521
150,ens,NOV,7,120.0,3.0,0.5
151,ens,NOV,8,300.0,4.0,0.501
152,ens,NOV,9,180.0,3.0,0.5
153,ens,NOV,10,60.0,1.0,0.433
154,ens,NOV,11,180.0,4.0,0.5
155,ens,NOV,12,60.0,4.0,0.5
156,ens,NOV,13,60.0,4.0,0.5
157,ens,NOV,14,150.0,2.0,0.436
158,ens,NOV,15,270.0,1.0,0.451
159,ens,NOV,16,30.0,4.0,0.512
160,ens,OCT,1,341.0,3.0,0.496
161,ens,OCT,2,279.0,4.0,0.506
162,ens,OCT,3,173.0,2.0,0.499
163,ens,OCT,4,93.0,3.0,0.505
164,ens,OCT,5,186.0,2.0,0.5
165,ens,OCT,6,93.0,2.0,0.508
166,ens,OCT,7,124.0,4.0,0.518
167,ens,OCT,8,310.0,2.0,0.502
168,ens,OCT,9,186.0,2.0,0.5
169,ens,OCT,10,62.0,4.0,0.508
170,ens,OCT,11,186.0,3.0,0.514
171,ens,OCT,12,62.0,4.0,0.5
172,ens,OCT,13,62.0,3.0,0.5
173,ens,OCT,14,155.0,2.0,0.504
174,ens,OCT,15,279.0,2.0,0.492
175,ens,OCT,16,31.0,3.0,0.5
176,ens,SEP,1,425.0,2.0,0.496
177,ens,SEP,2,311.0,2.0,0.528
178,ens,SEP,3,214.0,2.0,0.527
179,ens,SEP,4,111.0,2.0,0.511
180,ens,SEP,5,201.0,2.0,0.501
181,ens,SEP,6,101.0,2.0,0.437
182,ens,SEP,7,148.0,2.0,0.476
183,ens,SEP,8,300.0,3.0,0.521
184,ens,SEP,9,182.0,3.0,0.517
