,sim,szn,terr,data_avail,rank,rank_stat
129,merra2,MAR,1,0.0,,
130,merra2,MAR,4,62.0,1.0,-0.0363
131,merra2,MAR,6,62.0,4.0,0.208
132,merra2,MAY,1,0.0,,
133,merra2,MAY,4,62.0,1.0,0.992
134,merra2,MAY,6,62.0,2.0,0.974
135,merra2,NOV,1,0.0,,
136,merra2,NOV,4,30.0,4.0,0.193
137,merra2,NOV,6,30.0,4.0,0.169
138,merra2,OCT,1,0.0,,
139,merra2,OCT,4,31.0,1.0,-0.462
140,merra2,OCT,6,31.0,4.0,0.421
141,merra2,SEP,1,0.0,,
142,merra2,SEP,4,39.0,2.0,-0.753
143,merra2,SEP,6,39.0,2.0,-0.387
