,stat,sim,szn,terr,data_avail,rank,rank_stat
123,MAE,jra55,APR,4,720.0,1.0,2.12
124,MAE,jra55,APR,5,360.0,1.0,1.62
125,MAE,jra55,AUG,1,307.0,4.0,5.2
126,MAE,jra55,AUG,2,125.0,1.0,1.09
127,MAE,jra55,AUG,3,0.0,,
128,MAE,jra55,AUG,4,750.0,1.0,1.62
129,MAE,jra55,AUG,5,375.0,1.0,1.64
130,MAE,jra55,DEC,1,310.0,2.0,2.81
131,MAE,jra55,DEC,2,124.0,1.0,1.21
132,MAE,jra55,DEC,3,0.0,,
133,MAE,jra55,DEC,4,744.0,2.0,2.06
134,MAE,jra55,DEC,5,372.0,1.0,1.85
135,MAE,jra55,FEB,1,282.0,1.0,1.27
136,MAE,jra55,FEB,2,113.0,3.0,2.6
137,MAE,jra55,FEB,3,0.0,,
138,MAE,jra55,FEB,4,678.0,2.0,2.8
139,MAE,jra55,FEB,5,339.0,1.0,2.57
140,MAE,jra55,JAN,1,310.0,1.0,1.85
141,MAE,jra55,JAN,2,124.0,1.0,2.25
142,MAE,jra55,JAN,3,0.0,,
143,MAE,jra55,JAN,4,744.0,1.0,2.33
144,MAE,jra55,JAN,5,372.0,2.0,2.62
145,MAE,jra55,JUL,1,310.0,4.0,5.96
146,MAE,jra55,JUL,2,139.0,1.0,1.09
147,MAE,jra55,JUL,3,0.0,,
148,MAE,jra55,JUL,4,840.0,1.0,2.79
149,MAE,jra55,JUL,5,426.0,1.0,1.58
150,MAE,jra55,JUN,1,300.0,3.0,4.46
151,MAE,jra55,JUN,2,120.0,1.0,1.09
152,MAE,jra55,JUN,3,0.0,,
153,MAE,jra55,JUN,4,720.0,1.0,3.84
154,MAE,jra55,JUN,5,360.0,1.0,4.04
155,MAE,jra55,MAR,1,310.0,3.0,1.96
156,MAE,jra55,MAR,2,124.0,3.0,2.42
157,MAE,jra55,MAR,3,0.0,,
158,MAE,jra55,MAR,4,744.0,1.0,2.51
159,MAE,jra55,MAR,5,372.0,1.0,1.86
160,MAE,jra55,MAY,1,310.0,2.0,2.46
161,MAE,jra55,MAY,2,124.0,1.0,1.04
162,MAE,jra55,MAY,3,0.0,,
163,MAE,jra55,MAY,4,744.0,2.0,1.94
164,MAE,jra55,MAY,5,372.0,2.0,2.27
165,MAE,jra55,NOV,1,300.0,2.0,2.6
166,MAE,jra55,NOV,2,120.0,4.0,2.6
167,MAE,jra55,NOV,3,0.0,,
168,MAE,jra55,NOV,4,720.0,1.0,1.45
169,MAE,jra55,NOV,5,360.0,2.0,2.15
170,MAE,jra55,OCT,1,310.0,1.0,1.14
171,MAE,jra55,OCT,2,124.0,2.0,0.935
172,MAE,jra55,OCT,3,0.0,,
173,MAE,jra55,OCT,4,744.0,4.0,1.32
174,MAE,jra55,OCT,5,372.0,3.0,0.97
175,MAE,jra55,SEP,1,300.0,3.0,2.73
176,MAE,jra55,SEP,2,120.0,1.0,1.38
177,MAE,jra55,SEP,3,0.0,,
178,MAE,jra55,SEP,4,720.0,1.0,1.53
179,MAE,jra55,SEP,5,360.0,1.0,1.82
180,MAE,merra2,APR,1,300.0,4.0,4.21
181,MAE,merra2,APR,2,120.0,4.0,2.09
182,MAE,merra2,APR,3,0.0,,
183,MAE,merra2,APR,4,720.0,4.0,5.8
184,MAE,merra2,APR,5,360.0,4.0,5.34
185,MAE,merra2,AUG,1,307.0,1.0,4.19
186,MAE,merra2,AUG,2,125.0,4.0,6.17
187,MAE,merra2,AUG,3,0.0,,
188,MAE,merra2,AUG,4,750.0,4.0,8.59
