,stat,sim,szn,terr,data_avail,rank,rank_stat
33,WILL,ens,JUN,4,720.0,3.0,0.499
34,WILL,ens,JUN,5,360.0,4.0,0.502
35,WILL,ens,MAR,1,310.0,4.0,0.548
36,WILL,ens,MAR,2,124.0,3.0,0.5
37,WILL,ens,MAR,3,0.0,,
38,WILL,ens,MAR,4,744.0,2.0,0.488
39,WILL,ens,MAR,5,372.0,2.0,0.471
40,WILL,ens,MAY,1,310.0,2.0,0.509
41,WILL,ens,MAY,2,124.0,3.0,0.52
42,WILL,ens,MAY,3,0.0,,
43,WILL,ens,MAY,4,744.0,1.0,0.401
44,WILL,ens,MAY,5,372.0,1.0,0.359
45,WILL,ens,NOV,1,300.0,3.0,0.5
46,WILL,ens,NOV,2,120.0,2.0,0.502
47,WILL,ens,NOV,3,0.0,,
48,WILL,ens,NOV,4,720.0,1.0,0.469
49,WILL,ens,NOV,5,360.0,1.0,0.434
50,WILL,ens,OCT,1,310.0,4.0,0.525
51,WILL,ens,OCT,2,124.0,3.0,0.517
52,WILL,ens,OCT,3,0.0,,
53,WILL,ens,OCT,4,744.0,4.0,0.502
54,WILL,ens,OCT,5,372.0,3.0,0.503
55,WILL,ens,SEP,1,300.0,3.0,0.525
56,WILL,ens,SEP,2,120.0,3.0,0.504
57,WILL,ens,SEP,3,0.0,,
58,WILL,ens,SEP,4,720.0,2.0,0.503
59,WILL,ens,SEP,5,360.0,2.0,0.5
60,WILL,era5,APR,1,300.0,4.0,0.501
61,WILL,era5,APR,2,120.0,4.0,0.464
62,WILL,era5,APR,3,0.0,,
63,WILL,era5,APR,4,720.0,2.0,0.459
64,WILL,era5,APR,5,360.0,2.0,0.47
65,WILL,era5,AUG,1,307.0,3.0,0.509
66,WILL,era5,AUG,2,125.0,2.0,0.497
67,WILL,era5,AUG,3,0.0,,
68,WILL,era5,AUG,4,750.0,3.0,0.503
69,WILL,era5,AUG,5,375.0,2.0,0.498
70,WILL,era5,DEC,1,310.0,4.0,0.51
71,WILL,era5,DEC,2,124.0,2.0,0.437
72,WILL,era5,DEC,3,0.0,,
73,WILL,era5,DEC,4,744.0,3.0,0.502
74,WILL,era5,DEC,5,372.0,1.0,0.437
75,WILL,era5,FEB,1,282.0,3.0,0.454
76,WILL,era5,FEB,2,113.0,3.0,0.506
77,WILL,era5,FEB,3,0.0,,
78,WILL,era5,FEB,4,678.0,1.0,0.49
79,WILL,era5,FEB,5,339.0,3.0,0.495
80,WILL,era5,JAN,1,310.0,4.0,0.504
81,WILL,era5,JAN,2,124.0,3.0,0.521
82,WILL,era5,JAN,3,0.0,,
83,WILL,era5,JAN,4,744.0,3.0,0.496
84,WILL,era5,JAN,5,372.0,2.0,0.462
85,WILL,era5,JUL,1,310.0,1.0,0.463
86,WILL,era5,JUL,2,139.0,1.0,0.48
87,WILL,era5,JUL,3,0.0,,
88,WILL,era5,JUL,4,840.0,1.0,0.481
89,WILL,era5,JUL,5,426.0,4.0,0.509
90,WILL,era5,JUN,1,300.0,3.0,0.523
91,WILL,era5,JUN,2,120.0,3.0,0.5
92,WILL,era5,JUN,3,0.0,,
93,WILL,era5,JUN,4,720.0,1.0,0.492
94,WILL,era5,JUN,5,360.0,4.0,0.502
95,WILL,era5,MAR,1,310.0,2.0,0.509
96,WILL,era5,MAR,2,124.0,4.0,0.512
97,WILL,era5,MAR,3,0.0,,
98,WILL,era5,MAR,4,744.0,1.0,0.465
99,WILL,era5,MAR,5,372.0,1.0,0.462
100,WILL,era5,MAY,1,310.0,3.0,0.51
101,WILL,era5,MAY,2,124.0,1.0,0.5
102,WILL,era5,MAY,3,0.0,,
103,WILL,era5,MAY,4,744.0,3.0,0.457
104,WILL,era5,MAY,5,372.0,4.0,0.496
105,WILL,era5,NOV,1,300.0,4.0,0.502
106,WILL,era5,NOV,2,120.0,3.0,0.512
107,WILL,era5,NOV,3,0.0,,
108,WILL,era5,NOV,4,720.0,3.0,0.472
109,WILL,era5,NOV,5,360.0,3.0,0.494
110,WILL,era5,OCT,1,310.0,2.0,0.513
111,WILL,era5,OCT,2,124.0,2.0,0.488
112,WILL,era5,OCT,3,0.0,,
113,WILL,era5,OCT,4,744.0,1.0,0.474
114,WILL,era5,OCT,5,372.0,4.0,0.505
115,WILL,era5,SEP,1,300.0,1.0,0.495
116,WILL,era5,SEP,2,120.0,2.0,0.493
117,WILL,era5,SEP,3,0.0,,
118,WILL,era5,SEP,4,720.0,3.0,0.505
119,WILL,era5,SEP,5,360.0,4.0,0.509
120,WILL,jra55,APR,1,300.0,1.0,0.483
121,WILL,jra55,APR,2,120.0,1.0,0.391
122,WILL,jra55,APR,3,0.0,,
123,WILL,jra55,APR,4,720.0,1.0,0.436
124,WILL,jra55,APR,5,360.0,3.0,0.483
125,WILL,jra55,AUG,1,307.0,4.0,0.511
126,WILL,jra55,AUG,2,125.0,1.0,0.313
127,WILL,jra55,AUG,3,0.0,,
128,WILL,jra55,AUG,4,750.0,4.0,0.508
129,WILL,jra55,AUG,5,375.0,1.0,0.462
130,WILL,jra55,DEC,1,310.0,2.0,0.501
131,WILL,jra55,DEC,2,124.0,4.0,0.599
132,WILL,jra55,DEC,3,0.0,,
133,WILL,jra55,DEC,4,744.0,1.0,0.476
134,WILL,jra55,DEC,5,372.0,4.0,0.534
135,WILL,jra55,FEB,1,282.0,1.0,0.423
136,WILL,jra55,FEB,2,113.0,4.0,0.51
137,WILL,jra55,FEB,3,0.0,,
138,WILL,jra55,FEB,4,678.0,3.0,0.494
139,WILL,jra55,FEB,5,339.0,1.0,0.458
140,WILL,jra55,JAN,1,310.0,1.0,0.492
141,WILL,jra55,JAN,2,124.0,2.0,0.45
142,WILL,jra55,JAN,3,0.0,,
143,WILL,jra55,JAN,4,744.0,1.0,0.467
144,WILL,jra55,JAN,5,372.0,1.0,0.45
145,WILL,jra55,JUL,1,310.0,2.0,0.488
146,WILL,jra55,JUL,2,139.0,4.0,0.526
147,WILL,jra55,JUL,3,0.0,,
148,WILL,jra55,JUL,4,840.0,2.0,0.495
149,WILL,jra55,JUL,5,426.0,1.0,0.404
150,WILL,jra55,JUN,1,300.0,4.0,0.564
151,WILL,jra55,JUN,2,120.0,1.0,0.416
152,WILL,jra55,JUN,3,0.0,,
153,WILL,jra55,JUN,4,720.0,4.0,0.502
154,WILL,jra55,JUN,5,360.0,1.0,0.461
155,WILL,jra55,MAR,1,310.0,3.0,0.522
156,WILL,jra55,MAR,2,124.0,1.0,0.439
157,WILL,jra55,MAR,3,0.0,,
158,WILL,jra55,MAR,4,744.0,3.0,0.492
159,WILL,jra55,MAR,5,372.0,3.0,0.493
160,WILL,jra55,MAY,1,310.0,4.0,0.517
161,WILL,jra55,MAY,2,124.0,3.0,0.52
162,WILL,jra55,MAY,3,0.0,,
163,WILL,jra55,MAY,4,744.0,4.0,0.458
164,WILL,jra55,MAY,5,372.0,3.0,0.494
165,WILL,jra55,NOV,1,300.0,1.0,0.475
166,WILL,jra55,NOV,2,120.0,1.0,0.5
167,WILL,jra55,NOV,3,0.0,,
168,WILL,jra55,NOV,4,720.0,4.0,0.476
169,WILL,jra55,NOV,5,360.0,2.0,0.457
170,WILL,jra55,OCT,1,310.0,1.0,0.5
171,WILL,jra55,OCT,2,124.0,4.0,0.533
172,WILL,jra55,OCT,3,0.0,,
173,WILL,jra55,OCT,4,744.0,3.0,0.494
174,WILL,jra55,OCT,5,372.0,2.0,0.487
175,WILL,jra55,SEP,1,300.0,4.0,0.526
176,WILL,jra55,SEP,2,120.0,4.0,0.526
177,WILL,jra55,SEP,3,0.0,,
178,WILL,jra55,SEP,4,720.0,4.0,0.513
179,WILL,jra55,SEP,5,360.0,3.0,0.503
180,WILL,merra2,APR,1,300.0,2.0,0.5
181,WILL,merra2,APR,2,120.0,3.0,0.456
182,WILL,merra2,APR,3,0.0,,
183,WILL,merra2,APR,4,720.0,4.0,0.493
184,WILL,merra2,APR,5,360.0,4.0,0.5
185,WILL,merra2,AUG,1,307.0,2.0,0.5
186,WILL,merra2,AUG,2,125.0,4.0,0.5
187,WILL,merra2,AUG,3,0.0,,
188,WILL,merra2,AUG,4,750.0,2.0,0.5
189,WILL,merra2,AUG,5,375.0,4.0,0.5
190,WILL,merra2,DEC,1,310.0,1.0,0.5
191,WILL,merra2,DEC,2,124.0,1.0,0.426
192,WILL,merra2,DEC,3,0.0,,
193,WILL,merra2,DEC,4,744.0,2.0,0.482
194,WILL,merra2,DEC,5,372.0,3.0,0.497
195,WILL,merra2,FEB,1,282.0,4.0,0.5
196,WILL,merra2,FEB,2,113.0,1.0,0.266
197,WILL,merra2,FEB,3,0.0,,
198,WILL,merra2,FEB,4,678.0,4.0,0.5
199,WILL,merra2,FEB,5,339.0,4.0,0.5
200,WILL,merra2,JAN,1,310.0,3.0,0.5
201,WILL,merra2,JAN,2,124.0,4.0,0.527
202,WILL,merra2,JAN,3,0.0,,
203,WILL,merra2,JAN,4,744.0,2.0,0.49
204,WILL,merra2,JAN,5,372.0,3.0,0.5
205,WILL,merra2,JUL,1,310.0,4.0,0.5
206,WILL,merra2,JUL,2,139.0,3.0,0.5
207,WILL,merra2,JUL,3,0.0,,
208,WILL,merra2,JUL,4,840.0,3.0,0.5
209,WILL,merra2,JUL,5,426.0,3.0,0.5
210,WILL,merra2,JUN,1,300.0,2.0,0.507
211,WILL,merra2,JUN,2,120.0,3.0,0.5
212,WILL,merra2,JUN,3,0.0,,
213,WILL,merra2,JUN,4,720.0,2.0,0.495
214,WILL,merra2,JUN,5,360.0,2.0,0.5
215,WILL,merra2,MAR,1,310.0,1.0,0.5
216,WILL,merra2,MAR,2,124.0,2.0,0.47
217,WILL,merra2,MAR,3,0.0,,
218,WILL,merra2,MAR,4,744.0,4.0,0.5
219,WILL,merra2,MAR,5,372.0,4.0,0.5
220,WILL,merra2,MAY,1,310.0,2.0,0.509
221,WILL,merra2,MAY,2,124.0,4.0,0.524
222,WILL,merra2,MAY,3,0.0,,
223,WILL,merra2,MAY,4,744.0,2.0,0.412
224,WILL,merra2,MAY,5,372.0,2.0,0.431
225,WILL,merra2,NOV,1,300.0,3.0,0.5
226,WILL,merra2,NOV,2,120.0,4.0,0.525
227,WILL,merra2,NOV,3,0.0,,
228,WILL,merra2,NOV,4,720.0,3.0,0.472
229,WILL,merra2,NOV,5,360.0,4.0,0.5
230,WILL,merra2,OCT,1,310.0,3.0,0.523
231,WILL,merra2,OCT,2,124.0,1.0,0.483
232,WILL,merra2,OCT,3,0.0,,
233,WILL,merra2,OCT,4,744.0,2.0,0.477
234,WILL,merra2,OCT,5,372.0,1.0,0.429
235,WILL,merra2,SEP,1,300.0,2.0,0.511
236,WILL,merra2,SEP,2,120.0,2.0,0.493
237,WILL,merra2,SEP,3,0.0,,
238,WILL,merra2,SEP,4,720.0,1.0,0.496
239,WILL,merra2,SEP,5,360.0,1.0,0.44
