sim,szn,MAE
era5,ALL,1.8526015281677246
era5,DJF,3.128848075866699
era5,MAM,1.7527557611465454
era5,JJA,1.3099557161331177
era5,SON,1.1403007507324219
jra55,ALL,2.328239917755127
jra55,DJF,2.479243516921997
jra55,MAM,1.7468949556350708
jra55,JJA,2.847956895828247
jra55,SON,2.217744827270508
merra2,ALL,2.307379722595215
merra2,DJF,2.1268198490142822
merra2,MAM,3.7041330337524414
merra2,JJA,1.5168861150741577
merra2,SON,1.4692784547805786
